t_sec,proc_cpu_percent,proc_rss_mb,sys_cpu_percent,sys_mem_percent,gpu_util_avg,gpu_mem_used_mib
0.0,0.0,57.289,0.0,86.2,,
0.201,0.0,57.289,3.8,86.2,,
0.402,0.0,57.289,3.9,86.2,,
0.604,0.0,57.289,9.3,86.3,,
0.805,0.0,57.289,6.1,86.3,,
1.006,0.0,57.289,1.9,86.2,,
1.206,0.0,57.289,0.0,86.2,,
1.41,7.7,57.289,1.9,86.2,,
1.611,0.0,57.289,7.1,86.2,,
1.811,0.0,57.289,5.9,86.2,,
2.012,0.0,57.289,2.0,86.2,,
2.213,0.0,57.293,0.0,86.2,,
2.429,0.0,57.293,3.6,86.2,,
2.63,7.0,57.293,4.1,86.2,,
2.832,0.0,57.293,7.4,86.2,,
3.033,0.0,57.293,2.0,86.2,,
3.233,0.0,57.293,7.4,86.2,,
3.434,0.0,57.293,2.0,86.2,,
3.634,0.0,57.293,3.8,86.2,,
3.835,0.0,57.293,9.8,86.2,,
4.035,7.8,57.293,0.0,86.2,,
4.235,0.0,57.293,7.5,86.2,,
4.436,0.0,57.293,0.0,86.2,,
4.636,0.0,57.297,5.7,86.2,,
4.837,0.0,57.297,2.0,86.2,,
5.038,0.0,57.297,0.0,86.2,,
5.239,0.0,57.297,3.9,86.2,,
5.439,0.0,57.297,0.0,86.2,,
5.639,0.0,57.297,3.8,86.2,,
5.84,0.0,57.297,1.9,86.2,,
6.04,0.0,57.297,3.9,86.2,,
6.253,7.4,57.301,0.0,86.2,,
6.454,0.0,57.301,4.2,86.2,,
6.654,0.0,57.301,0.0,86.2,,
6.855,0.0,57.301,3.7,86.2,,
7.055,0.0,57.301,5.9,86.2,,
7.266,0.0,57.301,1.9,86.2,,
7.467,0.0,57.301,1.9,86.2,,
7.668,0.0,57.301,0.0,86.2,,
7.868,0.0,57.301,10.9,86.2,,
8.069,0.0,57.301,0.0,86.2,,
8.273,0.0,57.301,2.0,86.2,,
8.473,0.0,57.301,7.7,86.2,,
8.674,0.0,57.301,1.8,86.2,,
8.874,0.0,57.301,7.8,86.1,,
9.075,0.0,57.301,0.0,86.1,,
9.275,0.0,57.301,14.0,86.3,,
9.482,0.0,57.301,8.3,86.3,,
9.682,0.0,57.301,15.4,86.3,,
9.883,0.0,57.305,13.5,86.3,,
10.083,0.0,57.309,21.2,86.3,,
10.284,0.0,57.309,12.0,86.3,,
10.485,0.0,57.309,5.6,86.3,,
10.685,0.0,57.312,2.0,86.3,,
10.886,0.0,57.312,0.0,86.3,,
11.087,7.8,57.312,0.0,86.3,,
11.287,0.0,57.312,4.1,86.3,,
11.487,0.0,57.312,5.6,86.3,,
11.688,0.0,57.312,0.0,86.3,,
11.888,0.0,57.312,5.7,86.3,,
12.089,0.0,57.312,3.9,86.3,,
12.315,6.7,57.312,10.2,86.3,,
12.516,0.0,57.312,11.5,86.3,,
12.717,0.0,57.312,18.0,86.3,,
12.918,0.0,57.312,14.8,86.3,,
13.118,0.0,57.312,19.6,86.3,,
13.319,0.0,57.312,2.0,86.3,,
13.519,0.0,57.312,2.0,86.3,,
13.72,0.0,57.312,3.8,86.2,,
13.92,0.0,57.312,15.1,86.2,,
14.121,0.0,57.312,3.8,86.3,,
14.322,0.0,57.312,0.0,86.3,,
14.522,7.8,57.312,1.9,86.3,,
14.722,0.0,57.312,2.1,86.3,,
14.974,0.0,57.316,5.9,86.2,,
15.175,0.0,57.316,2.0,86.2,,
15.375,0.0,57.316,0.0,86.2,,
15.576,0.0,57.316,0.0,86.2,,
15.777,0.0,57.316,0.0,86.2,,
16.007,0.0,57.316,3.3,86.2,,
16.208,0.0,57.316,6.1,86.2,,
16.408,0.0,57.316,0.0,86.2,,
16.609,0.0,57.316,1.9,86.2,,
16.81,0.0,57.316,1.9,86.2,,
17.01,0.0,57.316,9.4,86.2,,
17.211,0.0,57.316,2.0,86.2,,
17.412,0.0,57.316,0.0,86.2,,
17.613,0.0,57.316,5.6,86.2,,
17.813,0.0,57.316,4.0,86.2,,
18.014,0.0,57.316,3.7,86.2,,
18.215,0.0,57.316,2.0,86.2,,
18.415,0.0,57.316,0.0,86.2,,
18.616,0.0,57.316,5.7,86.2,,
18.816,0.0,57.316,4.0,86.2,,
19.017,0.0,57.316,3.8,86.2,,
19.218,0.0,57.316,3.9,86.2,,
19.419,0.0,57.316,0.0,86.2,,
19.619,0.0,57.316,5.6,86.2,,
19.819,0.0,57.316,2.0,86.2,,
20.02,0.0,57.32,19.2,86.1,,
20.22,0.0,57.32,2.0,86.1,,
20.42,0.0,57.32,11.5,86.1,,
20.621,0.0,57.32,6.0,86.2,,
20.822,0.0,57.32,0.0,86.2,,
21.024,0.0,57.32,0.0,86.1,,
21.225,0.0,57.32,2.0,86.1,,
21.425,0.0,57.32,7.7,86.1,,
21.626,0.0,57.32,12.0,86.1,,
21.827,0.0,57.32,1.9,86.1,,
22.027,0.0,57.324,3.8,86.1,,
22.235,0.0,57.324,3.7,86.1,,
22.436,0.0,57.324,3.9,86.1,,
22.636,0.0,57.324,5.9,86.1,,
22.837,0.0,57.324,0.0,86.1,,
23.037,0.0,57.324,3.9,86.1,,
23.238,0.0,57.324,3.8,86.1,,
23.438,0.0,57.324,0.0,86.1,,
23.639,0.0,57.328,5.5,86.1,,
23.84,0.0,57.328,5.9,86.1,,
24.04,0.0,57.328,0.0,86.1,,
24.241,7.8,57.328,1.9,86.1,,
24.444,0.0,57.328,4.1,86.1,,
24.644,0.0,57.328,2.0,86.1,,
24.845,0.0,57.328,1.9,86.1,,
25.045,0.0,57.328,0.0,86.1,,
25.246,0.0,57.332,0.0,86.1,,
25.447,0.0,57.332,1.9,86.1,,
25.647,0.0,57.332,0.0,86.1,,
25.855,0.0,57.336,3.8,86.1,,
26.055,0.0,57.336,0.0,86.1,,
26.256,0.0,57.336,0.0,86.1,,
26.457,0.0,57.336,1.9,86.1,,
26.657,0.0,57.336,0.0,86.1,,
26.858,0.0,57.336,0.0,86.1,,
27.095,0.0,57.336,6.2,86.1,,
27.296,0.0,57.336,0.0,86.1,,
27.497,0.0,57.336,1.9,86.1,,
27.697,0.0,57.336,0.0,86.1,,
27.898,0.0,57.336,3.8,86.1,,
28.098,0.0,57.336,2.0,86.1,,
28.299,0.0,57.336,0.0,86.1,,
28.5,0.0,57.336,1.9,86.1,,
28.7,0.0,57.336,0.0,86.1,,
28.901,0.0,57.336,3.8,86.1,,
29.101,7.8,57.488,2.0,86.1,,
29.302,0.0,57.488,4.1,86.1,,
29.503,7.8,57.488,3.8,86.1,,
29.703,0.0,57.488,1.9,86.1,,
29.904,0.0,57.492,0.0,86.1,,
